Seed 860001; standard starting board; shuffled catalog house-variant decks (rules §4.3).
Each row must be independently reviewed against rules.md/cards.md; hashes alone are not an oracle.
{"step":1,"move":1,"action":{"type":"move","from":"f2","to":"f3"},"fen":["rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1"],"turn":[{"color":"white","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}},{"color":"white","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}}],"pieces":[{"before":{"id":"white-pawn-f2","owner":"white","role":"pawn","originalRole":"pawn","square":"f2","zone":"board","promoted":false,"royal":false,"neutral":false},"after":{"id":"white-pawn-f2","owner":"white","role":"pawn","originalRole":"pawn","square":"f3","zone":"board","promoted":false,"royal":false,"neutral":false}}],"effects":[[],[]],"events":[{"type":"move","from":"f2","to":"f3"}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","under-elf-hill","evangelists","bog"],"after":["charge","figure-dance","under-elf-hill","evangelists","bog"],"decks":[75,75],"discard":[]}],"enPassant":[],"pendingRescue":false}
{"step":2,"move":1,"action":{"type":"endTurn"},"fen":["rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1","rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1"],"turn":[{"color":"white","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}},{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}}],"pieces":[],"effects":[[],[]],"events":[{"type":"move","from":"f2","to":"f3"}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","under-elf-hill","evangelists","bog"],"after":["charge","figure-dance","under-elf-hill","evangelists","bog"],"decks":[75,75],"discard":[]}],"enPassant":[],"pendingRescue":false}
{"step":3,"move":1,"action":{"type":"playCard","cardId":"under-elf-hill","cardInstanceId":"black-hand-2-under-elf-hill"},"fen":["rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1","rnbq1bnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR w KQ - 1 2"],"turn":[{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}},{"color":"black","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":1}}],"pieces":[{"before":{"id":"black-king-e8","owner":"black","role":"king","originalRole":"king","square":"e8","zone":"board","promoted":false,"royal":true,"neutral":false},"after":{"id":"black-king-e8","owner":"black","role":"king","originalRole":"king","square":null,"zone":"away","promoted":false,"royal":true,"neutral":false}}],"effects":[[],[]],"events":[{"type":"cardPlayed","cardId":"under-elf-hill","movement":[],"preservePreviousMove":false}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","under-elf-hill","evangelists","bog"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[75,74],"discard":["under-elf-hill"]}],"enPassant":[],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":false}]}
{"step":4,"move":1,"action":{"type":"endTurn"},"fen":["rnbq1bnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR w KQ - 1 2","rnbq1bnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR w KQ - 1 2"],"turn":[{"color":"black","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":1}},{"color":"white","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}}],"pieces":[],"effects":[[],[]],"events":[{"type":"cardPlayed","cardId":"under-elf-hill","movement":[],"preservePreviousMove":false}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":false}]}
{"step":5,"move":2,"action":{"type":"move","from":"h2","to":"h4"},"fen":["rnbq1bnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR w KQ - 1 2","rnbq1bnr/pppppppp/8/8/7P/5P2/PPPPP1P1/RNBQKBNR b KQ - 0 2"],"turn":[{"color":"white","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}},{"color":"white","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}}],"pieces":[{"before":{"id":"white-pawn-h2","owner":"white","role":"pawn","originalRole":"pawn","square":"h2","zone":"board","promoted":false,"royal":false,"neutral":false},"after":{"id":"white-pawn-h2","owner":"white","role":"pawn","originalRole":"pawn","square":"h4","zone":"board","promoted":false,"royal":false,"neutral":false}}],"effects":[[],[]],"events":[{"type":"move","from":"h2","to":"h4"}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[{"target":"h3","pawnId":"white-pawn-h2"}],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":false}]}
{"step":6,"move":2,"action":{"type":"endTurn"},"fen":["rnbq1bnr/pppppppp/8/8/7P/5P2/PPPPP1P1/RNBQKBNR b KQ - 0 2","rnbq1bnr/pppppppp/8/8/7P/5P2/PPPPP1P1/RNBQKBNR b KQ - 0 2"],"turn":[{"color":"white","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}},{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}}],"pieces":[],"effects":[[],[]],"events":[{"type":"move","from":"h2","to":"h4"}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[{"target":"h3","pawnId":"white-pawn-h2"}],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":true}]}
{"step":7,"move":2,"action":{"type":"returnKing","to":"a4"},"fen":["rnbq1bnr/pppppppp/8/8/7P/5P2/PPPPP1P1/RNBQKBNR b KQ - 0 2","rnbq1bnr/pppppppp/8/8/k6P/5P2/PPPPP1P1/RNBQKBNR b KQ h3 0 2"],"turn":[{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}},{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}}],"pieces":[{"before":{"id":"black-king-e8","owner":"black","role":"king","originalRole":"king","square":null,"zone":"away","promoted":false,"royal":true,"neutral":false},"after":{"id":"black-king-e8","owner":"black","role":"king","originalRole":"king","square":"a4","zone":"board","promoted":false,"royal":true,"neutral":false}}],"effects":[[],[]],"events":[{"type":"move","from":"h2","to":"h4"}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[{"target":"h3","pawnId":"white-pawn-h2"}],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":true,"returned":true}]}
{"step":8,"move":3,"action":{"type":"move","from":"b7","to":"b5"},"fen":["rnbq1bnr/pppppppp/8/8/k6P/5P2/PPPPP1P1/RNBQKBNR b KQ h3 0 2","rnbq1bnr/p1pppppp/8/1p6/k6P/5P2/PPPPP1P1/RNBQKBNR w KQ - 0 3"],"turn":[{"color":"black","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}},{"color":"black","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}}],"pieces":[{"before":{"id":"black-pawn-b7","owner":"black","role":"pawn","originalRole":"pawn","square":"b7","zone":"board","promoted":false,"royal":false,"neutral":false},"after":{"id":"black-pawn-b7","owner":"black","role":"pawn","originalRole":"pawn","square":"b5","zone":"board","promoted":false,"royal":false,"neutral":false}}],"effects":[[],[]],"events":[{"type":"move","from":"b7","to":"b5","movedPieceId":"black-pawn-b7","movedRoles":["pawn"]}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[{"target":"b6","pawnId":"black-pawn-b7"}],"pendingRescue":false,"underElfHill":[{"pieceId":"black-king-e8","player":"black","returning":true,"returned":true}]}
{"step":9,"move":3,"action":{"type":"endTurn"},"fen":["rnbq1bnr/p1pppppp/8/1p6/k6P/5P2/PPPPP1P1/RNBQKBNR w KQ - 0 3","rnbq1bnr/p1pppppp/8/1p6/k6P/5P2/PPPPP1P1/RNBQKBNR w KQ - 0 3"],"turn":[{"color":"black","phase":"afterMove","moveMade":true,"cardPlays":{"white":0,"black":0}},{"color":"white","phase":"beforeMove","moveMade":false,"cardPlays":{"white":0,"black":0}}],"pieces":[],"effects":[[],[]],"events":[{"type":"move","from":"b7","to":"b5","movedPieceId":"black-pawn-b7","movedRoles":["pawn"]}],"hands":[{"color":"white","before":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"after":["knightmare","rebirth","doomsayer","annexation","winged-victory"],"decks":[75,75],"discard":[]},{"color":"black","before":["charge","figure-dance","evangelists","bog","masquerade"],"after":["charge","figure-dance","evangelists","bog","masquerade"],"decks":[74,74],"discard":["under-elf-hill"]}],"enPassant":[{"target":"b6","pawnId":"black-pawn-b7"}],"pendingRescue":false,"underElfHill":[]}
